Depth,Plot,Treatment,Block,Species,Year,Total,Exotic,Native,PC1CWM,PC2CWM
Shallow,2,Ordered,1,2,2010,19.09213333,0.490133333,18.602,0.9017134,-0.0095639
Shallow,3,Ordered,1,5,2010,515.272,0,515.272,-1.35200198,1.782632274
Shallow,4,Ordered,1,8,2010,669.5816667,0,669.5816667,-0.929504995,0.396667767
Shallow,5,Ordered,1,12,2010,313.6143333,3.186666667,310.4276667,-0.980920082,-0.001348073
Medium,17,Ordered,2,2,2010,1322.332,1295,27.332,0.9036742,-0.0262307
Medium,18,Ordered,2,5,2010,678.6683333,129.575,549.0933333,-0.9905769,1.7743221
Medium,19,Ordered,2,8,2010,456.3356667,0,456.3356667,-1.066553134,0.313138069
Medium,20,Ordered,2,12,2010,309.5936667,0,309.5936667,-1.5191494,0.1644657
Shallow,32,Ordered,3,2,2010,151.3503333,53.796,97.55433333,0.6475732,2.1506278
Shallow,33,Ordered,3,5,2010,578.5946667,0,578.5946667,-1.349580404,1.779828002
Shallow,34,Ordered,3,8,2010,227.2713333,0,227.2713333,-0.470662793,0.680104099
Shallow,35,Ordered,3,12,2010,576.2486667,0,576.2486667,-1.196799832,0.118747413
Shallow,36,Ordered,3,16,2010,507.7336667,33.26666667,474.467,-0.326442436,-0.139895401
Deep,47,Ordered,4,2,2010,45.102,0,45.102,0.8470314,0.4552331
Deep,48,Ordered,4,5,2010,426.125,156,270.125,-0.295354154,1.717609876
Deep,49,Ordered,4,8,2010,578.6083,2.6963,575.912,-1.096690133,0.550532095
Deep,50,Ordered,4,12,2010,681.6896667,0,681.6896667,-1.123192768,0.894484855
Deep,51,Ordered,4,16,2010,638.1656667,44.85,593.3156667,-0.2468841,-0.0515927
Medium,62,Ordered,5,2,2010,575.1373333,544.857,30.28033333,0.7165014,1.5647381
Medium,63,Ordered,5,5,2010,679.0003333,0,679.0003333,-1.346162238,1.785837942
Medium,64,Ordered,5,8,2010,507.179,129.2863333,377.8926667,-0.7880891,0.3616245
Medium,65,Ordered,5,12,2010,530.5746667,10.30066667,520.274,-1.364848352,-0.131387986
Medium,66,Ordered,5,16,2010,569.052,1.662,567.39,-0.562248822,-0.267144571
