Depth,Plot,Treatment,Block,Species,Year,Total,Exotic,Native
Shallow,2,Ordered,1,2,2010Apr,19.09213333,0.490133333,18.602
Shallow,3,Ordered,1,5,2010Apr,515.272,0,515.272
Shallow,4,Ordered,1,8,2010Apr,669.5816667,0,669.5816667
Shallow,5,Ordered,1,12,2010Apr,313.6143333,3.186666667,310.4276667
Shallow,6,Random,1,16,2010Apr,228.2336667,15.29433333,212.9393333
Shallow,7,Random,1,2,2010Apr,358.3333333,0,358.3333333
Shallow,8,Random,1,5,2010Apr,389.5583333,0,389.5583333
Shallow,9,Random,1,8,2010Apr,351.0866667,8.750666667,342.336
Shallow,10,Random,1,12,2010Apr,201.9673333,0,201.9673333
Medium,17,Ordered,2,2,2010Apr,1322.332,1295,27.332
Medium,18,Ordered,2,5,2010Apr,678.6683333,129.575,549.0933333
Medium,19,Ordered,2,8,2010Apr,456.3356667,0,456.3356667
Medium,20,Ordered,2,12,2010Apr,309.5936667,0,309.5936667
Medium,21,Random,2,16,2010Apr,475.4346667,0,475.4346667
Medium,22,Random,2,2,2010Apr,89.881,11.88,78.001
Medium,23,Random,2,5,2010Apr,547.739,4.250666667,543.4883333
Medium,24,Random,2,8,2010Apr,848.7403333,3.023666667,845.7166667
Medium,25,Random,2,12,2010Apr,147.3496667,0,147.3496667
Shallow,32,Ordered,3,2,2010Apr,151.3503333,53.796,97.55433333
Shallow,33,Ordered,3,5,2010Apr,578.5946667,0,578.5946667
Shallow,34,Ordered,3,8,2010Apr,227.2713333,0,227.2713333
Shallow,35,Ordered,3,12,2010Apr,576.2486667,0,576.2486667
Shallow,36,Ordered,3,16,2010Apr,507.7336667,33.26666667,474.467
Shallow,37,Random,3,2,2010Apr,267.239,0,267.239
Shallow,38,Random,3,5,2010Apr,518.7916667,0,518.7916667
Shallow,39,Random,3,8,2010Apr,467.1073333,9.895,457.2123333
Shallow,40,Random,3,12,2010Apr,563.3776667,0,563.3776667
Deep,47,Ordered,4,2,2010Apr,45.102,0,45.102
Deep,48,Ordered,4,5,2010Apr,426.125,156,270.125
Deep,49,Ordered,4,8,2010Apr,578.6083,2.6963,575.912
Deep,50,Ordered,4,12,2010Apr,681.6896667,0,681.6896667
Deep,51,Ordered,4,16,2010Apr,638.1656667,44.85,593.3156667
Deep,52,Random,4,2,2010Apr,696.804,50.69733333,646.1066667
Deep,53,Random,4,5,2010Apr,720.4316667,8.698666667,711.733
Deep,54,Random,4,8,2010Apr,708.488,38.176,670.312
Deep,55,Random,4,12,2010Apr,842.7986667,49.31766667,793.481
Medium,62,Ordered,5,2,2010Apr,575.1373333,544.857,30.28033333
Medium,63,Ordered,5,5,2010Apr,679.0003333,0,679.0003333
Medium,64,Ordered,5,8,2010Apr,507.179,129.2863333,377.8926667
Medium,65,Ordered,5,12,2010Apr,530.5746667,10.30066667,520.274
Medium,66,Ordered,5,16,2010Apr,569.052,1.662,567.39
Medium,67,Random,5,2,2010Apr,452.6666667,0,452.6666667
Medium,68,Random,5,5,2010Apr,666.8296667,0,666.8296667
Medium,69,Random,5,8,2010Apr,493.709,0,493.709
Medium,70,Random,5,12,2010Apr,642.8926667,7.057666667,635.835
Deep,77,Ordered,6,2,2010Apr,778.8036667,611.3333333,167.4703333
Deep,78,Ordered,6,5,2010Apr,868.6976667,407,461.6976667
Deep,79,Ordered,6,8,2010Apr,438.4531,2.1461,436.307
Deep,80,Ordered,6,12,2010Apr,605.6613333,0,605.6613333
Deep,81,Random,6,16,2010Apr,477.9953333,33.80166667,444.1936667
Deep,82,Random,6,2,2010Apr,1104.164667,961.3333333,142.8313333
Deep,83,Random,6,5,2010Apr,529.7546667,47.173,482.5816667
Deep,84,Random,6,8,2010Apr,657.641,115.4113333,542.2296667
Deep,85,Random,6,12,2010Apr,566.963,0.609333333,566.3536667
Medium,92,Ordered,7,2,2010Apr,51.70333333,8.438,43.26533333
Medium,93,Ordered,7,5,2010Apr,456.1816667,31.23,424.9516667
Medium,94,Ordered,7,8,2010Apr,676.4663333,0.567,675.8993333
Medium,95,Ordered,7,12,2010Apr,342.5946667,0.587333333,342.0073333
Medium,96,Ordered,7,16,2010Apr,512.2426667,0,512.2426667
Medium,97,Random,7,2,2010Apr,431.3823333,0,431.3823333
Medium,98,Random,7,5,2010Apr,634.669,0,634.669
Medium,99,Random,7,8,2010Apr,456.7676667,0,456.7676667
Medium,100,Random,7,12,2010Apr,633.055,8.52,624.535
Shallow,107,Ordered,8,2,2010Apr,324.8963333,166.2423333,158.654
Shallow,108,Ordered,8,5,2010Apr,295.5496667,0,295.5496667
Shallow,109,Ordered,8,8,2010Apr,605.8796667,0,605.8796667
Shallow,110,Ordered,8,12,2010Apr,541.232,11.31333333,529.9186667
Shallow,111,Ordered,8,16,2010Apr,340.41,6.667,333.743
Shallow,112,Random,8,2,2010Apr,736.2593333,0,736.2593333
Shallow,113,Random,8,5,2010Apr,571.6126667,35.879,535.7336667
Shallow,114,Random,8,8,2010Apr,611.1473333,0,611.1473333
Shallow,115,Random,8,12,2010Apr,491.494,33.782,457.712
Deep,122,Ordered,9,2,2010Apr,193.0556667,137.6666667,55.389
Deep,123,Ordered,9,5,2010Apr,816.995,0,816.995
Deep,124,Ordered,9,8,2010Apr,910.739,0,910.739
Deep,125,Ordered,9,12,2010Apr,966.3793333,4.490333333,961.889
Deep,126,Random,9,16,2010Apr,886.3083333,0,886.3083333
Deep,127,Random,9,2,2010Apr,307.71,0,307.71
Deep,128,Random,9,5,2010Apr,698.566,0.144666667,698.4213333
Deep,129,Random,9,8,2010Apr,668.2436667,0,668.2436667
Deep,130,Random,9,12,2010Apr,727.795,0,727.795
Shallow,2,Ordered,1,2,2011,218.05,148.88,69.165
Shallow,3,Ordered,1,5,2011,262.32,68.57,193.75
Shallow,4,Ordered,1,8,2011,413.41,149.14,264.2616667
Shallow,5,Ordered,1,12,2011,626.73,96.61,530.115
Shallow,6,Random,1,16,2011,440.56,162.57,277.9866667
Shallow,7,Random,1,2,2011,177.49,103.19,74.30833333
Shallow,8,Random,1,5,2011,192.86,20.49,172.3616667
Shallow,9,Random,1,8,2011,260.83,111.58,149.2583333
Shallow,10,Random,1,12,2011,273.31,110.23,163.08
Medium,17,Ordered,2,2,2011,382.02,186.71,195.3083333
Medium,18,Ordered,2,5,2011,415.51,139.15,276.3583333
Medium,19,Ordered,2,8,2011,429.79,150.98,278.815
Medium,20,Ordered,2,12,2011,280.77,76.79,203.9766667
Medium,21,Random,2,16,2011,316.17,94.68,221.4833333
Medium,22,Random,2,2,2011,393.07,140.83,252.2366667
Medium,23,Random,2,5,2011,396.94,230.99,165.95
Medium,24,Random,2,8,2011,261.46,149.63,111.8316667
Medium,25,Random,2,12,2011,240.44,67.80,172.6383333
Shallow,32,Ordered,3,2,2011,310.69,221.17,89.52166667
Shallow,33,Ordered,3,5,2011,359.91,112.88,247.035
Shallow,34,Ordered,3,8,2011,410.84,193.33,217.5083333
Shallow,35,Ordered,3,12,2011,400.88,128.95,271.93
Shallow,36,Ordered,3,16,2011,349.14,90.35,258.7916667
Shallow,37,Random,3,2,2011,328.99,259.36,69.63333333
Shallow,38,Random,3,5,2011,425.15,152.53,272.6266667
Shallow,39,Random,3,8,2011,116.85,77.08,39.76666667
Shallow,40,Random,3,12,2011,352.22,184.83,167.3816667
Deep,47,Ordered,4,2,2011,485.44,288.17,197.27
Deep,48,Ordered,4,5,2011,339.88,144.00,195.88
Deep,49,Ordered,4,8,2011,368.80,104.83,263.965
Deep,50,Ordered,4,12,2011,681.61,32.41,649.2016667
Deep,51,Ordered,4,16,2011,989.80,247.50,742.3016667
Deep,52,Random,4,2,2011,253.86,162.50,91.35666667
Deep,53,Random,4,5,2011,338.16,237.74,100.4216667
Deep,54,Random,4,8,2011,280.64,42.66,237.985
Deep,55,Random,4,12,2011,642.03,577.17,64.86666667
Medium,62,Ordered,5,2,2011,392.11,81.66,310.4566667
