Depth,Plot,Treatment,Block,Species,Total2012,Exotic2012,Native2012,PC1,PC2,Root_depth,SRL,LMA,Nmass,Aarea,LUE,WUE,Height,R.S,Seed_mass
Shallow,2,Ordered,1,2,399.8003,15.99938,383.80092,0.9331394,-0.2766849,14.29464917,1.375821511,41.89502054,1.805113179,14.21589158,0.140100376,5.048215915,47.434074,0.923217137,4.62391249
Shallow,3,Ordered,1,5,210.3269,31.90948,178.41742,-0.794238158,1.415919841,7.36906551,2.137476361,90.9581258,1.736540532,19.06293379,0.135314773,3.787717218,15.30748613,1.465424131,2.601434231
Shallow,4,Ordered,1,8,241.27174,22.00267,219.26907,-0.9165028,1.0074956,8.425561884,3.011938147,70.07389584,1.906854786,16.82774445,0.13014321,3.118703861,8.90225585,1.437543211,1.875319828
Shallow,5,Ordered,1,12,651.94742,90.48216,561.46526,1.940259103,-1.027249072,13.73154333,0.928135123,48.48830631,4.153638092,14.19201541,0.213942747,5.284290281,17.61292823,0.605659542,1.889245964
Medium,17,Ordered,2,2,85.66594,54.47724,31.18869,0.6737096,1.9284684,12.41719667,2.712490139,65.59816129,2.046744198,18.39500906,0.157031584,3.937232907,20.262216,7.650566952,5.22264916
Medium,18,Ordered,2,5,220.71015,28.60036,192.10979,-0.708251717,1.470779792,7.73313747,2.195247439,88.7927512,1.790330017,18.77978011,0.135508243,3.872224435,15.41830862,1.952946206,2.839509672
Medium,19,Ordered,2,8,254.74654,37.84442,216.90212,-1.26698937,0.871529315,7.207505342,3.448588477,76.4770712,1.743440842,16.20650156,0.132511461,3.465203785,10.50907294,0.689146091,1.607162039
Medium,20,Ordered,2,12,228.24605,22.56656,205.67949,-0.86895049,0.362918629,9.754356277,2.751392876,45.05255195,2.160181999,13.51767698,0.116353856,2.928607524,9.15901814,0.757315694,1.338535246
Shallow,32,Ordered,3,2,110.82083,41.43576,69.38507,0.6299222,2.3006613,12.10031417,2.93809739,69.59885399,2.087527462,19.10037401,0.159889288,3.749717605,15.676062,8.786030793,5.32370587
Shallow,33,Ordered,3,5,282.91644,82.38186,200.53458,-0.977529175,1.979537395,6.518873389,2.394587464,103.8934221,1.75453698,21.67887264,0.1421982,3.209421373,5.702680227,2.299650005,2.611649886
